#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
0.11600000000000002 0.043000000000000003, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.156839149618933, 0.0, 216106.1026352289, 0.0, 0.0, 0.0, 0, 0.23300970873786409, 0, 0.7669902912621359, 0, 0.0, 0, 4.627356598475732e-06, 1e-05, 1e-05, 0.01, 0.01, 0.01, 0.01, -255
